;Item_ID;Item_title;co2e_kg;sustainability_score
51;B000OYQOCK;Sanuk Vagabond Sidewalk Surfer;5.0;0.669389
52;B000PHMZDS;Volatile Women's Frappachino Flip Flop Wedge Sandal;6.69;0.623164
53;B000Q941ZU;Easy Spirit Women's Punter Athletic Shoe;10.1;0.554799
54;B000R8V0T0;Vesuvio Napoli Men's Paisley Design Dress Vest & NeckTie GOLD Color Neck Tie Set for Suit Tux;2.8;0.75447
55;B000RQ5X2C;Saucony Unisex-child Baby Jazz Hook & Loop , GREY/BLUE/YELLOW, 7.5 M;4.2;0.696045
56;B000SL04IE;Lewis N. Clark Quick Release Luggage Belt: Add a Bag Adjustable Tie Down Straps for Luggage Security - Black;1.2;0.856274
57;B000TFFPGK;Wigwam Cool-Lite Hiker Quarter F6066 Sock;1.67;0.820208
58;B000VII62K;Timberland Pawtuckaway WaterPROof Hiking Boot (Toddler/Little Kid);9.7;0.561635
59;B000VK6QTI;Glamorise Women's Full Figure Wirefree Minimizer Support Bra #1003;3.0;0.744915
60;B000VKA1HQ;Glamorise Women's Full Figure MagicLift Front Close Support Bra #1200;9.45;0.566039
61;B000W47YU8;Soffe Women's Juniors Football Capri;14.56;0.491884
62;B000WDS1OC;Timberland Men's Icon Three-Eye Classic Shoe;9.09;0.572569
63;B000WI5KLO;Clarks Women's Lucena Sandal;11.83;0.527819
64;B000XEKGBQ;"Timberland PRO Men's 26011 Direct Attach 8"" Soft-Toe";36.3;0.329031
65;B000XICEPI;Darn Tough (Style 1403) Men's Hiker Hike/Trek Sock - Lime, Small;2.65;0.761971
66;B000XR4OC0;TOMS Women's, Alpargata Slip-On;4.1;0.699662
67;B000YDCUW4;Dan Post Boots Mens Milwaukee Round Toe Casual Boots Mid Calf - Black;20.7;0.429929
68;B0010B65QQ;Jockey Men's Undershirt Big & Tall Classic V-Neck T-Shirt - 6 Pack;55.1;0.253006
69;B0010EG85Q;Champion Men's Jersey T-Shirt;12.6;0.516963
70;B0011YQGCA;Wacoal Women's Embrace Lace Bra;1.03;0.871254
71;B00126I5JY;Russell Athletic Men's Big & Tall Dri-Power Performance T-Shirt;6.7;0.622922
72;B0012F49C2;Port & Company Men's Essential T Shirt;9.7;0.561635
73;B0012F5SKE;Port & Company Men's Sandwich Bill Cap;0.72;0.902121
74;B0012G6KX2;Skechers Women's D'Lites Memory Foam Lace-up Sneaker;9.5;0.56515
75;B0012HR2I8;Brooks Men's Addiction Walker Walking Shoes;11.4;0.534169
76;B0012HT9AM;Brooks Women's Addiction Walker Walking Shoes;12.4;0.519722
77;B0012N08GK;Walking Cradles Women's Caden Clog;13.7;0.502475
78;B0012N37UE;Adams Classic Optimum Cap;0.11;0.983701
79;B0012QM6GW;Barely There by Bali Comfort Revolution Microfiber Seamless Brief;0.85;0.888549
80;B0012ZCRBC;Playtex Secrets Women's Seamless Cottony Underwire Full Coverage Bra 4415;0.87;0.886547
81;B0013FEYSA;adidas Originals Men's Superstar II Shoe;15.0;0.48669
82;B0014806C4;Dunham Men's Windsor Waterproof Oxford;19.5;0.440526
83;B0015DSQBG;Keds Little Kid/Big Kid School Days II Sneaker;10.5;0.548204
84;B001814SM6;Frye Women's Harness 12R Boot;34.0;0.340886
85;B0018BGFM2;Seirus Innovation Neofleece Comfort Masque;3.49;0.72339
86;B0018BJS8K;Seirus Innovation Deluxe Thermax Cold Weather Lightweight Glove;0.46;0.932649
87;B0018DK6AC;Ariat Barnyard Side Zip Work Boot - Women’s Comfortable Waterproof Boots;28.1;0.375273
88;B0018P3GK2;Levi's Women's 529 Curvy Bootcut Jean;25.6;0.392005
89;B0019WS9CY;Kamik Women's Heidi, Navy, 8 Medium US;5.35;0.658829
90;B001AF15HQ;DPC Outdoors Solarweave Treated Cotton Hat;5.45;0.655918
91;B001AQVMDM;Timberland Men's 6-Inch Premium Waterproof Boot;20.2;0.434272
92;B001AS5TPC;Ariat Heritage Roper Western Boots- Men’s Traditional Leather Country Boot;19.5;0.440526
93;B001ASCRB6;Ariat Women's Legend Western Cowboy Boot;17.9;0.455663
94;B001BFFTO0;"Timberland Men's Earthkeepers 6"" Boot";14.63;0.491048
95;B001CCN6X8;Dickies Men's Water Resistant Diamond Quilted Nylon Jacket;21.4;0.424016
96;B001CE63EK;AmeriBag X-Small Distressed Nylon Healthy Back Bag Tote;5.3;0.660301
97;B001D4NA5O;L.B. Evans Mens, Klondike Slipper;4.91;0.672204
98;B001D777K0;Tamarac by Slippers International Men's Koosh Spa Scuff;13.0;0.511563
99;B001E5CQJ8;Baffin Chloe | Women's Boots | Mid Height | Available in Black, Charcoal, Taupe color | Perfect for snow-covered terrains;28.0;0.375914
100;B001EJMRKW;Dansko Women's Professional Clog-Slip on, All Day Comfort, Arch Support;12.76;0.514784
101;B001EJN1HA;Dansko Women's Sonja Mule;15.8;0.477602
102;B001EJNMXS;Birkenstock Women's Mayari Sandals;20.2;0.434272
103;B001G60052;Fila Women's Disruptor II Sneaker;13.2;0.508921
104;B001GNBJ9Q;LeSportsac Classic Hobo;2.2;0.78648
105;B001H0F6J2;Champion Men's Jersey Pant;14.7;0.490216
106;B001MS72ZK;Daniel Green Women's Dormie Slipper;5.26;0.661487
107;B001PTHG1Q;Reef Men's Phantoms Sandal;1.94;0.802265
108;B001RNIAOW;Danskin Girls Student Footed Tight;1.8;0.811353
109;B001RNOB7C;Timex Women's T5K187 Ironman Pulse Calculator Black/Purple Resin Strap Watch;0.46;0.932649
110;B001T4Z7S6;Danskin Women's Footed Tight;4.9;0.67252
111;B001TU7ASK;Mizuno Vortex Volleyball Short;2.41;0.77464
112;B001UQ6ZPW;G.H. Bass & Co. Men's Layton Kiltie Tassel Loafer;24.7;0.398417
113;B001VH7UO0;Anita Women's Extreme Control Sport Bra;11.7;0.529716
114;B0023NTXUU;Kamik Rocket Cold Weather Boot (Toddler/Little Kid/Big Kid);20.17;0.434535
115;B0023RRTWU;Rocket Dog Women's Jazzin Sneaker;8.0;0.593863
116;B0026MRNGO;Minnetonka Women's Kilty Hardsole Moccasins;5.6;0.651636
117;B0026MROIG;Minnetonka Women's Thunderbird Moccasin;13.69;0.502602
118;B0026MRQMU;Minnetonka Women’s Hardsole Pile-Lined Moccasin Slippers;4.13;0.698569
119;B0026MRR1A;Minnetonka Men's Moosehide Classic Moccasin;6.9;0.618146
120;B0026MRRQA;Minnetonka Men's Double Bottom Hardsole;21.4;0.424016
121;B0028AEG6Y;Ariat Heritage Lacer II Boot - Women's Round Toe Western Leather Boot;16.4;0.471066
122;B0028N7HFI;Timberland PRO Men's Endurance 6 Inch Steel Safety Toe Puncture Resistant Work Boot;30.5;0.360511
123;B00295SE1Q;Sperry Kid's Tevin Oxford, 3M;3.4;0.727162
124;B0029DNQEI;Keds unisex-child School Days II Sneaker;14.7;0.490216
125;B0029NYS36;Lee Men's Comfort Waist Custom Relaxed Fit Flat Front Pant;29.7;0.365303
126;B002A9JX5M;Perry Ellis Men's Classic Fit Double Pleated Cuffed Pant;56.67;0.247865
127;B002ACPH90;Old Friend Women's Bootee Slipper;14.1;0.497474
128;B002AQRPT6;Haggar Men's Work to Weekend Hidden Expandable Waist No Iron Flat Front Pant;84.0;0.175608
129;B002AQRZHI;Haggar mens Mynx Gabardine Hidden Expandable Waistband Classic Fit Front Pleated Dress Pant;57.3;0.245841
130;B002AQY6YI;Skechers for Work Women's Shape Ups Slip Resistant Sneaker;12.3;0.521118
131;B002CMM65Q;Capezio Women's CG17 Fluid Tap Shoe;9.4;0.566932
132;B002CO2WSK;Capezio Women's EJ2 E-Series Jazz Slip-On;2.94;0.74773
133;B002CO3LM6;Capezio 550 Junior Footlight;7.9;0.595944
134;B002CQTY84;Capezio Women's Daisy Ballet Shoe;3.2;0.735827
135;B002CQTZH4;Minnetonka Men's Pile Lined Hardsole Slipper;4.53;0.684584
136;B002CQU30W;Capezio Women's Manhattan Character Shoe,;8.2;0.589769
137;B002DGS6AA;Capezio Women's EJ1 E-Series Jazz Shoe;6.54;0.626833
138;B002DR2M6S;Mundi Suburban Rio Womens Checkbook Wallet With RFID Blocking Technology;3.9;0.707113
139;B002DYJPDE;Teva Women's Olowahu Set of Two Pairs of Flip-Flops;4.62;0.681576
140;B002G9U8VE;Carhartt Men's Loose Fit Heavyweight Long-Sleeve Pocket T-Shirt;24.33;0.401118
141;B002G9U92C;Carhartt Men's Relaxed Fit Tapered Leg Jean (Regular and Big and Tall Sizes);38.03;0.320586
142;B002G9UDOG;Carhartt Men's Duck Bib Unlined Overall R01;199.0;0.016223
143;B002G9UDT6;Carhartt Men's Yukon Arctic Quilt Lined Zip to Waist Biberalls R33;96.0;0.151009
144;B002G9UEFE;Carhartt Men's Quilt Lined Zip To Thigh Bib Overalls R41;86.0;0.171276
145;B002G9UFNK;Capezio Daisy 205 Ballet Shoe (Toddler/Little Kid);2.92;0.748678
146;B002G9UFO4;Capezio Little Kid/Big Kid 3800 Mary Jane Tap Shoe;4.8;0.675704
147;B002GJTKTA;Nomad Women's Puddles Rain Boot;4.6;0.68224
148;B002GYVFS4;adidas Men's Cushioned No Show Socks (3-Pair);9.5;0.56515
149;B002HJ377A;The Mountain Men's Three Wolf Moon Short Sleeve Tee;17.14;0.463308
150;B002I9Z6G4;Olympia Luggage Rolling Printed Shopper Tote, Black, One Size;14.8;0.489033
151;B002JVWOO8;Dunham Men's Cloud Mid-Cut Waterproof Boot;23.2;0.409619
152;B002KKCZLA;Teva Men's Katavi 2;5.55;0.653052
153;B002LASLOO;Keds girls Daphne T-Strap Sneaker;7.5;0.60451
154;B002MGB5DG;Hollywood Star Fashion Women's Slimming Foldover Bootleg Flare Yoga Pants;9.9;0.558185
155;B002NPCOU4;Kamik Women's Olivia Rain Boot;5.21;0.662981
156;B002OHE3DC;Dockers Men’s Gordon Leather Oxford Dress Shoe;18.9;0.446059
157;B002OHE4D6;Dockers Proposal - Genuine Full-Grain Leather Slip-On Loafer Dress Shoes for Men Featuring All Motion Comfort Technology, EVA Sock Lining, and Durable Rubber Outsole;16.5;0.469998
158;B002OHE4I6;Dockers Men's Castaway Boat Shoe;11.2;0.537198
159;B002OHE4JK;Dockers Men's Shelter Plain-Toe Oxford;16.6;0.468937
160;B002P4ROHG;Rocket Dog Women's Sheriff Boot;25.0;0.396255
161;B002P66J20;Clarks Unstructured Women's Un.Loop Slip-On Shoe;3.7;0.714876
162;B002P8NDBS;Dunham Men's St. Johnsbury Sandal;9.7;0.561635
163;B002PHLVCW;Sloggers 5006LE06 Rain and Garden Boot with Comfort Insole, Leopard Print, Size 6;2.61;0.764024
164;B002PJZQH6;Scott Hawaii Men's Makaha Rubber Slipper with Nylon Strap | Beach Footwear | No-Slip Boat Sandal | All Day Arch Support Comfortable Flip Flops;5.6;0.651636
165;B002Q8HM96;Dockers Men’s Classic Fit Comfort Cargo Pants;22.8;0.412723
166;B002QB1E8I;Minnetonka Men's Classic Camp Moccasin;9.04;0.573494
167;B002QB1ELK;Minnetonka Men's Double Bottom Fleece Slipper;12.8;0.514243
168;B002R0F9NY;Capezio Girls' Boy Cut Low Rise Short;1.94;0.802265
169;B002TSBHXK;Easy Street Women's Sportster Slingback Mule;10.5;0.548204
170;B002U82LDE;Samsonite Aspire Xlite Softside Expandable Luggage with Spinner Wheels, Red, Checked-Medium 25-Inch;36.2;0.329531
171;B002WYJDCI;Sanuk Men's Pick Pocket;2.7;0.759437
172;B002XDRBFY;"Durango Men's 11"" Harness Boot";13.1;0.510237
173;B002YQ2GIW;Capezio Women's Studio Basics Fishnet Seamless Tight;0.79;0.894691
174;B002Z7EOLW;Cudas Men's, Flatwear Slip on Water Shoe;9.5;0.56515
175;B0031ET00S;Kangol Men's Ventair 504 Cap;1.52;0.830978
176;B00328HREO;Alfred Dunner Women's Medium Length Pant;39.2;0.315084
177;B00328HS34;Alfred Dunner Women's Pull-On Style All Around Elastic Waist Polyester Cropped Missy Pants;34.0;0.340886
178;B0032AMW4M;San Diego Hat Company Women's Ribbon Large Brim Hat;2.73;0.757933
179;B0033WRVQI;Tilley Endurables LTM6 Airflo Hat;6.3;0.632859
180;B0033WRVQS;Tilley Endurables LTM5 Airflo Unisex Hat;3.1;0.740316
181;B0033WST6E;Alegria Women Paloma Leather Shoes;16.0;0.475398
182;B0035FC8M0;KEEN Men's Newport H2 Closed Toe Water Sandals, Camo/Olive Drab, 9;6.9;0.618146
183;B0035FZK52;"Amazon Collection Sterling Silver Live The Life You Love Circle Pendant Necklace, 18""";1.9;0.804816
184;B0036VN958;"Chippewa Men's 6"" Rugged Handcrafted Lace-Up Boot";27.5;0.379154
185;B0037HPFAI;Trotters Women's Dea Pump;6.2;0.635428
186;B0039S6GQ2;Jockey Women's Underwear Supersoft Brief - 3 Pack;2.75;0.756937
187;B003AOBGGU;Acorn Men's Polar;3.9;0.707113
188;B003AU5WJQ;Soffe Men's Long-Sleeve Cotton T-Shirt;17.375;0.46091
189;B003B1YLUK;Alegria Venice Womens Sandal;11.32;0.535375
190;B003C1PXK6;M3851 Wash N Wear Slip-On II;11.0;0.540277
191;B003CIPOCQ;Tamarac by Slippers International Women's Galaxie Shearling Slipper;9.8;0.559902
192;B003DNR4X2;BEARPAW Women's Emma Fashion Boot;23.6;0.406565
193;B003GDJ1OY;Stride Rite SRT Baby and Toddler Boys Elliot Leather Sneaker;2.6;0.764541
194;B003ICWK6O;Madden Men's Trace Slip-On;8.5;0.583792
195;B003JKSU78;Skechers Sport Women's Dream Come True Fashion Sneaker;8.5;0.583792
196;B003JKV3SG;Skechers Sport Women's Verified Fashion Sneaker;7.0;0.615803
197;B003KTM9CA;Sperry Women's Angelfish Varsity Boat Shoe;7.4;0.606715
198;B003LN0HG0;Mephisto Women's Helen Thong Sandals;7.08;0.613949
199;B003M68UN8;Skechers Sport Men's Stamina Nuovo Cutback Lace-Up Sneaker;6.16;0.636466
200;B003MQLURQ;Dickies Mens 13 Inch Loose Fit Cargo Short;95.0;0.152939
201;B003MZ01CM;Wacoal Women's Full Figure Simple Shaping Minimizer Bra;3.25;0.733623
202;B003OYJ7CQ;ASICS Womens Gel-Nimbus 17;10.41;0.549668
203;B003P8QOV8;Outdoor Research Seattle Sun Sombrero - Breathable Lightweight UV Protection;2.7;0.759437
204;B003UU1T84;Clarks Women's Wave.Whisk Sandal;9.0;0.574238
205;B003XRF0IE;Duofold Men's Mid-Weight Moisture-Wicking Ankle-Length Layering Pant;12.7;0.515598
206;B003XSA8DU;KingSize Men's Big & Tall Fleece Cargo Sweatpants;75.23;0.195892
207;B003YBQ2E0;Crocs Women's Adrina Flat;2.76;0.756441
208;B003ZYDOS8;Carnival Women's Full Figure Strapless Lace Bra;3.53;0.721738
209;B0040JGADS;Haggar Men's Cool 18 Pleat Front Hidden Expandable Waist Short-Regular and Big & Tall Sizes;10.7;0.544993
210;B0041D7WVW;Dickies Men's Insulated Eisenhower Front-Zip Jacket;37.16;0.324785
211;B0041FHZAS;Vasque Men's Juxt Multi-Sport Shoe;14.2;0.496245
212;B0041IXHS4;Bloch Dance Women's Neo-Flex Leather and Neoprene Slip On Split Sole Jazz Shoe;7.03;0.615105
213;B0041T42AU;Carhartt Men's Quilt Lined Zip To Waist Bib Overalls R38;217.2;0.0
214;B0041T42NC;Carhartt Men's Relaxed Fit Straight Leg Flannel Lined Jean;94.8;0.153328
215;B0041VWW4G;Original Turtle Fur Fleece - The Turtle's Neck, Heavyweight Neck Warmer;0.98;0.8759
216;B00421BLAG;K-Swiss Women's Tubes Run 100 Athletic Shoe;7.3;0.608945
217;B00439GYTU;Oboz Firebrand II Low B-Dry Hiking Shoe - Men's;19.4;0.441437
218;B0043UDOPG;Minnetonka Women's Silverthorne Thong Sandal;4.6;0.68224
219;B0044V07KO;Gildan mens Hooded;56.1;0.249715
220;B004CYFU4Q;adidas Alliance Sport Sackpack;2.36;0.777392
221;B004DGJOWC;Baggallini Messenger Travel Bag, One Size;5.0;0.669389
222;B004DNWMN8;Hanes Women's Non Control Top Sandalfoot Silk Reflections Panty Hose;0.36;0.945865
223;B004DNWNDC;Hanes Women's Control Top Sheer Toe Silk Reflections Panty Hose;0.55;0.921506
224;B004DNWNEG;Hanes Women's Control Top Reinforced Toe Silk Reflections Panty Hose;1.45;0.836226
225;B004DNWNF0;Hanes Women's Silk Reflections Thigh-High Stockings;1.99;0.799124
226;B004EIHD18;Birkenstock Women's Gizeh Sandals;3.7;0.714876
227;B004FDRMZE;Bostonian Men's Bolton Dress Slip-On;12.0;0.525367
228;B004FGMWRE;Kanu Surf Boys' Platinum Rashguard;3.5;0.722976
229;B004HI2E6Y;Clarks Women's May Poppy Loafer;9.8;0.559902
230;B004HJ6DLU;Converse Kids' Chuck Taylor All Star Canvas High Top Sneaker, pink, 10 M US Toddler;1.61;0.824442
231;B004I76686;Woman Within Women's Plus Size 7-Day Knit Straight Leg Pant;41.1;0.306482
232;B004IA7IN0;Cherokee Flexibles Women Scrubs Top V-Neck Knit Panel 2968;23.5;0.407324
233;B004IRVVKE;Pierre Dumas Women's Rosetta Slip On Thong Sandal;5.5;0.65448
234;B004IYKZ68;Eastland Women's Classic II Penny Loafer;8.33;0.587156
235;B004IZ2XMQ;Crocs Women's Patricia II Wedge Sandal;3.2;0.735827
236;B004K6M9BI;Classroom Little Boys' Uniform Pull-On Pant;63.1;0.228175
237;B004LRP3IC;Sorel Kid's Snow Commander-K;6.5;0.627824
238;B004LWZQES;DC Men's Court Graffik SE Skate Shoe,Black Destroy Wash,8 D US;13.4;0.506316
239;B004LY4WAA;Arcopedico Women's L19 Ankle Boot;10.5;0.548204
240;B004MDMVOO;Haggar Men's Two-Tone Herringbone Expandable-Waist Pleat-Front Dress Pant;26.2;0.38785
241;B004MXP06U;NINE WEST Women's Flax Pump;7.9;0.595944
242;B004N7DBE8;Gary Majdell Sport Mens Solid Contour Pouch Bikini Swimsuit;0.92;0.881631
243;B004OQKPOC;Clarks Women's Tequini Slip-On;13.82;0.500961
244;B004PYYAYY;Stacy Adams Men's Beau Moc Toe Bit Slip-On Loafer;9.7;0.561635
245;B004Q9I6KW;Frye Women's Veronica Short Boot;27.0;0.382451
246;B004QMSTGA;BEARPAW Men's Moc II Multiple Colors | Men's Slipper | Men's Shoe | Comfortable & Lightweight;9.0;0.574238
247;B004RKJAXC;adidas Men's Athletic Stretch Cotton Boxer Brief Underwear (2-Pack);5.15;0.66479
248;B004UJCTQ0;Minnetonka Men's Classic Moc;6.0;0.640676
249;B004VW64F8;Woman Within Women's Plus Size Better Fleece Sweatpant Pant;46.54;0.283846
250;B004WJBZ54;New Balance mens Mx608v3-m cross trainer shoes, White/Black, 9.5 US;16.1;0.474305
251;B004Y7A1IQ;"Stainless Steel Cable Chain 0.9 MM - (16"" - 30"" Available)";0.24;0.963071
252;B004YZ82VG;Fruit of the Loom Girls' Cotton Boyshort (Pack of 8);10.9;0.541836
253;B00509PS94;Touch Ups Women's Jane Heeled Sandal, Navy Glitter, 8.5 Wide;8.35;0.586757
254;B0050I70QY;Skechers Men's Blaine Orsen Ankle Boot;18.6;0.448888
255;B0052N3E1C;Shoe String King Round Metallic Silver Shoelaces for Sneakers and Shoes;0.07;0.990537
256;B005460EX8;ASICS Men's Ready-Set Short Sleeve Tee;20.2;0.434272
257;B0054P9AM0;Salomon Women's XR Mission Running Shoe;11.9;0.526806
258;B0054PID46;Salomon Men's XR Mission Running Shoe;9.8;0.559902
259;B0055ATVUU;Teva Men's Mush II Flip-Flop;2.38;0.776286
260;B0055M914Y;Champion Ladies Active Mesh Shorts 3393;3.21;0.735384
261;B005AQB1W0;Keds unisex-child Ella Mary Jane Sneaker;8.15;0.590784
262;B005CW04FM;Fruit of the Loom Men's Super Value Athletic Shirt(Pack of 8);117.8;0.113247
263;B005DJ227C;Kamik Women's Waterproof Jennifer Rain Boot;8.78;0.578381
264;B005DVIFAI;Dansko Women's Sam Sandals - Comfort, Support, Womens Dress Sandals;5.0;0.669389
265;B005DVY6B0;Dansko Women's Sophie Sandals;8.5;0.583792
266;B005DX7V1K;Forplay Women's Super Seductress Costume Set;4.8;0.675704
267;B005EJZ9LC;Spring Step Women's Chino;12.9;0.512898
268;B005EVJ1VE;Ahnu Women's Montara II Hiking Shoe;9.15;0.571464
269;B005EVN2B4;Champion Women's Absolute Workout Legging;44.4;0.292425
270;B005FOCNK6;Champion Men's Pullover Eco Fleece Hoodie;21.6;0.42236
271;B005FOCNKQ;Champion Men's Full-zip Eco Fleece Hoodie Jacket;74.3;0.198178
272;B005FULYOQ;Timberland Adventure Seeker Two-Strap Sandal (Toddler/Little Kid);2.9;0.749631
273;B005GD88L4;ECCO Women's Offroad Lite Sandal;6.0;0.640676
274;B005GI8UZ8;Skechers Performance Women's Go Walk Slip-On Walking Shoe;10.2;0.553128
275;B005GSXTV8;Lee Men's Premium Select Relaxed-Fit Straight-Leg Jean;55.6;0.251353
276;B005HMHOQ4;Smiffys Unisex Adult Leg Warmers;3.5;0.722976
277;B005HMTPBG;Northside Womens Burke II Sport Athletic Sandal;2.9;0.749631
278;B005HNOWWC;Northside Kid's Burke II Sandal;4.6;0.68224
279;B005IJ4D2E;Rainbow Sandals Women's Single Layer Leather Sandal Narrow Strap;8.1;0.591805
280;B005IW2K2G;Kangol Men, Women Wool Flexfit Baseball;2.18;0.787648
281;B005J350DU;Dickies Men's Short-Sleeve Coverall;42.6;0.299961
282;B005L76PD8;5.11 Women's Taclite Pro Tactical 7 Pocket Cargo Pant, Teflon Treated, Rip and Water Resistant, Style 64360;27.2;0.381125
283;B005L77N02;5.11 Tactical Men's Performance Short Sleeve Polo, 100% Polyester, Moisture Wicking, Style 71049;10.4;0.549831
284;B005LJH0E4;Cherokee Women Scrubs Pant Workwear Originals Natural Rise Tapered Leg Pull-On 4001;35.0;0.335638
285;B005N4IZ46;Merrell Kid's Jungle Moc Moccasin;6.4;0.630325
286;B005N5F7FA;"Carhartt Men's 10"" Canvas Work Short";49.9;0.271125
287;B005NYNW9O;Warner's Women's Back To Smooth Wire-Free Contour Bra;1.22;0.854588
288;B005Q0GYIQ;Cherokee Women's V Neck Scrubs Shirt;15.2;0.484376
289;B005Q5PBAS;New Balance Boys KX624 Uniform Sneaker (Little Kid/Big Kid);6.37;0.631081
290;B005Q79UIA;Bostonian Men's Ipswich Lace-Up Oxford Shoe;19.0;0.445125
291;B005S996H6;Van Heusen 13V0527 Ladies Dress Twill;5.7;0.648835
292;B005SN5HNY;Hanes Ultimate Men's 5-Pack Tagless ComfortSoft Crewneck T-Shirt;28.2;0.374634
293;B005UVNE9S;New Balance Men's 990 V3 Running Shoe;14.4;0.49381
294;B005YXN3N4;Dickies Men’s Relaxed Fit Sanded Duck Carpenter Jean;33.0;0.346285
295;B0064Y3OQI;Danskin Women's Sleek Fit Yoga Crop Pant;24.3;0.401338
296;B0065G3JTM;Marshal ®Genuine Leather Coin Change Purse Key Ring #810;1.6;0.825157
297;B0067I7JJ4;Felina Women's Harlow Unlined Demi Bra;1.63;0.82302
