model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
knn,A,global_0.2,0.2,5,5,0.0125,0.0082,0.0096,0.0127,7.2966,0.607,3.035,0.9762,0.7441,0.4901,-0.0504,0.5941,0.618,-0.0239
knn,A,global_0.4,0.4,5,5,0.009,0.006,0.007,0.0091,2.7616,0.8615,4.3074,0.9994,0.662,0.3409,0.0942,0.8539,0.8679,-0.014
knn,A,global_0.6,0.6,5,5,0.0042,0.003,0.0033,0.004,0.6397,0.9845,4.9226,1.0,0.4053,0.1482,0.2101,0.9846,0.9844,0.0002
knn,A,global_0.8,0.8,5,5,0.0026,0.0018,0.002,0.0025,0.0995,1.0,5.0,1.0,0.1527,0.0504,-0.0119,1.0,1.0,0.0
knn,A,global_1.0,1.0,5,5,0.0015,0.001,0.0011,0.0013,0.0195,1.0,5.0,1.0,0.0028,0.0009,0.9747,1.0,1.0,0.0
knn,A,behavioral,p,5,5,0.0104,0.007,0.0081,0.0109,4.925,0.742,3.71,0.9864,0.7102,0.4316,0.0317,0.8696,0.6333,0.2362
knn,A,semantic,p,5,5,0.0058,0.0038,0.0044,0.0054,1.4251,0.9368,4.684,0.9988,0.5074,0.2364,0.1377,0.9297,0.9429,-0.0132
knn,A,hybrid_5,p,5,5,0.0091,0.0061,0.007,0.0093,3.3835,0.8258,4.129,0.996,0.6708,0.3651,0.0701,0.9044,0.7588,0.1456
knn,A,hybrid_10,p,5,5,0.0081,0.0055,0.0063,0.0082,2.7184,0.8651,4.3254,0.9988,0.6369,0.3284,0.1043,0.9143,0.8231,0.0912
knn,A,hybrid_20,p,5,5,0.0075,0.005,0.0058,0.0075,2.1646,0.8972,4.486,0.9994,0.5963,0.2913,0.1386,0.9226,0.8756,0.0471
knn,B,global_0.0,0.0,5,5,0.0145,0.0095,0.0111,0.0149,15.6671,0.25,1.2502,0.7674,0.448,0.4597,-0.0861,0.2504,0.2497,0.0007
knn,B,global_0.2,0.2,5,5,0.0134,0.0088,0.0103,0.0136,9.7394,0.5018,2.509,0.9762,0.7417,0.5229,-0.0509,0.4959,0.5068,-0.0109
knn,B,global_0.4,0.4,5,5,0.0129,0.0084,0.0099,0.0123,7.6844,0.6002,3.001,0.9994,0.7314,0.4838,0.0952,0.5935,0.6059,-0.0124
knn,B,global_0.6,0.6,5,5,0.0115,0.0075,0.0088,0.01,5.943,0.706,3.53,1.0,0.6807,0.4218,0.2215,0.7009,0.7104,-0.0095
knn,B,global_0.8,0.8,5,5,0.01,0.0065,0.0076,0.0087,4.5521,0.7913,3.9566,1.0,0.5078,0.315,0.2413,0.7914,0.7913,0.0001
knn,B,global_1.0,1.0,5,5,0.0012,0.0008,0.0009,0.001,1.4035,0.8,4.0,1.0,0.0024,0.0011,0.359,0.8,0.8,0.0
knn,B,behavioral,p,5,5,0.0132,0.0086,0.0101,0.0131,8.6257,0.556,2.7802,0.9844,0.7397,0.5026,0.0251,0.609,0.5109,0.0982
knn,B,semantic,p,5,5,0.0119,0.0078,0.0091,0.0106,6.4212,0.6764,3.382,0.9988,0.6831,0.4355,0.1824,0.6685,0.6831,-0.0146
knn,B,hybrid_5,p,5,5,0.0129,0.0085,0.0099,0.0124,7.881,0.5898,2.949,0.996,0.7346,0.4892,0.0737,0.6238,0.5608,0.063
knn,B,hybrid_10,p,5,5,0.0129,0.0084,0.0099,0.0121,7.5333,0.6088,3.044,0.9988,0.7314,0.4803,0.1064,0.6327,0.5884,0.0443
knn,B,hybrid_20,p,5,5,0.0128,0.0083,0.0098,0.0118,7.1782,0.6296,3.148,0.9994,0.721,0.4701,0.1359,0.6445,0.6169,0.0276
